unimorph,ud_feature,ud_tag
0,person,0
1,person,1
2,person,2
3,person,3
4,person,4
MASC,gender,Masc
FEM,gender,Fem
NEUT,gender,Neut
MASC+FEM,gender,Com
ANIM,animacy,Anim
HUM,animacy,Hum
INAN,animacy,Inan
NHUM,animacy,Nhum
NOM,case,Nom
ACC,case,Acc
ABS,case,Abs
ERG,case,Erg
DAT,case,Dat
GEN,case,Gen
VOC,case,Voc
ESS,case,Loc
PRT,case,Par
DIST,case,Dis
FRML,case,Ess
TRANS,case,Tra
COM,case,Com
PRIV,case,Abe
IN+ESS,case,Ine
IN+ALL,case,Ill
IN+ABL,case,Ela
IN+ALL;LGSPEC1,case,Add
AT+ALL,case,All
AT+ABL,case,Abl
ON+ESS,case,Sup
ON+ALL,case,Sub
BEN,case,Ben
COMPV,case,Cmp
EQTV,case,Equ
INS,case,Ins
AT+ESS,case,Ade
INDF,definite,Ind
SPEC,definite,Spec
DEF,definite,Def
PSSD,definite,Cons
AB,degree,Abs
CMPR,degree,Cmp
EQT,degree,Equ
RL,degree,Sup
SPRL,degree,Sup
IND,mood,Ind
IMP,mood,Imp
COND,mood,Cnd
POT,mood,Pot
SBJV,mood,Sub
PURP,mood,Prp
QUOT,mood,Qot
OPT,mood,Opt
ADM,mood,Adm
FH,evident,Fh
NFH,evident,Nfh
SG,number,Sing
PL,number,Plur
DU,number,Dual
TRI,number,Tri
PAUC,number,Pauc
GRPA,number,Grpa
GRPL,number,Grpl
INVN,number,Inv
ELEV,polite,Elev
FORM,polite,Form
HUMB,polite,Humb
INFM,polite,Infm
POS,polarity,Pos
NEG,polarity,Neg
FIN,verbform,Fin
NFIN,verbform,Inf
V.PTCP,verbform,Part
V.CVB,verbform,Conv
V.MSDR,verbform,Ger
LGSPEC1,verbform,Short
FUT,tense,Fut
PST,tense,Past
PST+PRF,tense,Pqp
PRF,tense,Pqp
PRS,tense,Pres
HAB,aspect,Hab
IPFV,aspect,Imp
ITER,aspect,Iter
PFV,aspect,Perf
PROG,aspect,Prog
PROSP,aspect,Prosp
ACT,voice,Act
MID,voice,Mid
PASS,voice,Pass
ANTIP,voice,Antip
DIR,voice,Dir
INV,voice,Inv
RECP,voice,Rcp
CAUS,voice,Cau
REFL,reflex,Yes
ADV,pos,ADV
PRO,pos,PRON
V,pos,VERB
ADP,pos,ADP
DET,pos,DET
N,pos,NOUN
ADJ,pos,ADJ
CONJ,pos,CCONJ
NUM,pos,NUM
PROPN,pos,PROPN
PART,pos,PART
INTJ,pos,INTJ
PTCP,pos,VERB
